iter	Passed	Remaining
0	18	9029
1	21	5272
2	24	3994
3	27	3398
4	30	3030
5	33	2794
6	37	2627
7	40	2479
8	43	2366
9	46	2280
10	49	2213
11	53	2157
12	56	2106
13	59	2071
14	62	2035
15	66	2020
16	76	2175
17	79	2138
18	83	2111
19	86	2082
20	90	2062
21	93	2041
22	97	2018
23	100	1997
24	104	1983
25	108	1975
26	111	1957
27	115	1945
28	118	1932
29	123	1933
30	126	1918
31	130	1908
32	134	1900
33	151	2082
34	155	2060
35	158	2037
36	161	2017
37	164	2003
38	167	1985
39	171	1973
40	174	1958
41	178	1946
42	181	1933
43	185	1920
44	189	1911
45	192	1900
46	196	1891
47	199	1882
48	204	1878
49	207	1870
50	211	1863
51	215	1856
52	219	1849
53	222	1840
54	226	1832
55	230	1824
56	233	1816
57	237	1808
58	241	1802
59	244	1796
60	248	1788
61	252	1782
62	256	1775
63	260	1772
64	263	1766
65	267	1761
66	271	1756
67	275	1751
68	279	1743
69	282	1735
70	286	1729
71	289	1722
72	293	1715
73	296	1707
74	300	1702
75	304	1696
76	307	1691
77	317	1716
78	320	1709
79	324	1703
80	327	1696
81	331	1690
82	335	1685
83	339	1680
84	343	1674
85	347	1670
86	350	1663
87	353	1656
88	357	1652
89	361	1646
90	364	1640
91	368	1633
92	372	1628
93	375	1622
94	379	1617
95	383	1612
96	386	1606
97	390	1602
98	394	1596
99	398	1592
100	401	1586
101	405	1581
102	408	1576
103	412	1571
104	416	1566
105	420	1561
106	423	1556
107	427	1551
108	431	1546
109	434	1540
110	438	1535
111	441	1529
112	445	1524
113	448	1520
114	452	1516
115	456	1511
116	460	1507
117	464	1504
118	468	1499
119	471	1494
120	475	1489
121	479	1485
122	482	1479
123	486	1474
124	489	1468
125	493	1464
126	496	1459
127	500	1454
128	504	1449
129	507	1445
130	511	1441
131	515	1436
132	518	1431
133	522	1426
134	526	1423
135	529	1418
136	533	1413
137	537	1410
138	541	1405
139	544	1400
140	548	1395
141	551	1391
142	555	1386
143	559	1382
144	562	1376
145	566	1372
146	569	1367
147	573	1364
148	577	1359
149	580	1355
150	584	1351
151	588	1346
152	591	1342
153	595	1337
154	600	1336
155	602	1329
156	606	1325
157	610	1320
158	613	1315
159	617	1311
160	620	1307
161	624	1302
162	627	1298
163	631	1294
164	635	1289
165	638	1285
166	642	1281
167	646	1276
168	649	1272
169	653	1268
170	656	1263
171	660	1259
172	664	1256
173	668	1251
174	671	1247
175	675	1243
176	678	1238
177	682	1234
178	685	1229
179	689	1225
180	693	1221
181	696	1217
182	700	1212
183	703	1208
184	707	1204
185	711	1200
186	713	1194
187	717	1190
188	720	1185
189	724	1181
190	728	1178
191	732	1174
192	735	1170
193	739	1166
194	742	1162
195	746	1157
196	750	1153
197	753	1149
198	757	1145
199	760	1141
200	764	1137
201	768	1133
202	771	1129
203	775	1125
204	778	1120
205	783	1117
206	786	1113
207	790	1109
208	793	1105
209	797	1101
210	801	1097
211	805	1093
212	808	1089
213	812	1085
214	815	1081
215	819	1076
216	822	1072
217	826	1068
218	829	1064
219	833	1060
220	836	1056
221	840	1052
222	844	1048
223	847	1044
224	851	1040
225	855	1036
226	858	1032
227	862	1028
228	865	1024
229	869	1020
230	873	1017
231	876	1013
232	880	1009
233	883	1004
234	887	1000
235	890	996
236	903	1002
237	907	998
238	910	994
239	913	989
240	917	985
241	920	981
242	924	977
243	927	973
244	931	969
245	934	965
246	938	960
247	941	956
248	945	953
249	949	949
250	952	945
251	956	941
252	960	937
253	964	933
254	967	929
255	971	925
256	974	921
257	978	917
258	982	913
259	985	909
260	989	905
261	993	902
262	997	898
263	1001	895
264	1004	891
265	1008	887
266	1011	882
267	1015	879
268	1018	874
269	1022	871
270	1026	867
271	1029	862
272	1033	859
273	1037	855
274	1040	851
275	1044	847
276	1047	843
277	1051	839
278	1054	835
279	1058	831
280	1069	833
281	1073	829
282	1076	825
283	1080	821
284	1084	817
285	1087	814
286	1091	809
287	1094	805
288	1098	801
289	1101	797
290	1105	793
291	1108	789
292	1112	785
293	1115	781
294	1119	778
295	1123	774
296	1126	770
297	1130	766
298	1134	762
299	1137	758
300	1141	754
301	1145	750
302	1148	746
303	1152	742
304	1155	738
305	1159	734
306	1162	730
307	1166	727
308	1169	723
309	1173	719
310	1177	715
311	1180	711
312	1184	707
313	1188	703
314	1191	700
315	1195	696
316	1199	692
317	1202	688
318	1206	684
319	1210	680
320	1213	676
321	1217	672
322	1220	668
323	1223	664
324	1226	660
325	1230	656
326	1234	653
327	1237	649
328	1241	645
329	1244	641
330	1248	637
331	1252	633
332	1255	629
333	1259	625
334	1262	621
335	1266	618
336	1269	614
337	1273	610
338	1277	606
339	1281	602
340	1284	598
341	1288	595
342	1291	591
343	1295	587
344	1298	583
345	1302	579
346	1306	575
347	1309	572
348	1313	568
349	1316	564
350	1320	560
351	1340	563
352	1343	559
353	1347	555
354	1350	551
355	1353	547
356	1357	543
357	1359	539
358	1362	535
359	1366	531
360	1369	527
361	1373	523
362	1376	519
363	1380	515
364	1383	511
365	1387	508
366	1391	504
367	1394	500
368	1398	496
369	1401	492
370	1405	488
371	1408	484
372	1412	480
373	1416	477
374	1419	473
375	1422	469
376	1426	465
377	1429	461
378	1432	457
379	1435	453
380	1439	449
381	1443	445
382	1447	442
383	1451	438
384	1455	434
385	1459	430
386	1462	427
387	1466	423
388	1470	419
389	1474	415
390	1477	411
391	1482	408
392	1485	404
393	1489	400
394	1493	396
395	1503	394
396	1507	391
397	1510	387
398	1514	383
399	1517	379
400	1521	375
401	1525	371
402	1529	368
403	1532	364
404	1536	360
405	1540	356
406	1543	352
407	1548	349
408	1551	345
409	1555	341
410	1559	337
411	1563	333
412	1566	330
413	1570	326
414	1574	322
415	1578	318
416	1581	314
417	1585	311
418	1589	307
419	1593	303
420	1596	299
421	1600	295
422	1610	293
423	1613	289
424	1618	285
425	1621	281
426	1625	277
427	1629	274
428	1633	270
429	1637	266
430	1642	262
431	1646	259
432	1650	255
433	1654	251
434	1658	247
435	1662	244
436	1666	240
437	1670	236
438	1674	232
439	1678	228
440	1682	225
441	1686	221
442	1691	217
443	1695	213
444	1699	210
445	1703	206
446	1707	202
447	1710	198
448	1715	194
449	1718	190
450	1722	187
451	1725	183
452	1729	179
453	1733	175
454	1737	171
